"STD_YM(기준년월)","ADMI_CD(행정동코드_8자리)","ADMI_NM(행정동명)","SEXDSTN_CD(성별코드)","AGRDE_CD(연령대코드)","RSPOP_CNT(거주인구_수)","CTY_NM(시군구명)"
"201610","11320511","창1동","1","0004",577,"도봉구"
"201610","11320511","창1동","2","0004",521,"도봉구"
"201610","11320511","창1동","1","0509",580,"도봉구"
"201610","11320511","창1동","2","0509",553,"도봉구"
"201610","11320511","창1동","1","1014",638,"도봉구"
"201610","11320511","창1동","2","1014",634,"도봉구"
"201610","11320511","창1동","1","1519",836,"도봉구"
"201610","11320511","창1동","2","1519",797,"도봉구"
"201610","11320511","창1동","1","2024",928,"도봉구"
"201610","11320511","창1동","2","2024",866,"도봉구"
"201610","11320511","창1동","1","2529",827,"도봉구"
"201610","11320511","창1동","2","2529",862,"도봉구"
"201610","11320511","창1동","1","3034",1057,"도봉구"
"201610","11320511","창1동","2","3034",996,"도봉구"
"201610","11320511","창1동","1","3539",1104,"도봉구"
"201610","11320511","창1동","2","3539",1096,"도봉구"
"201610","11320511","창1동","1","4044",1157,"도봉구"
"201610","11320511","창1동","2","4044",1232,"도봉구"
"201610","11320511","창1동","1","4549",1220,"도봉구"
"201610","11320511","창1동","2","4549",1360,"도봉구"
"201610","11320511","창1동","1","5054",1010,"도봉구"
"201610","11320511","창1동","2","5054",1090,"도봉구"
"201610","11320511","창1동","1","5559",1078,"도봉구"
"201610","11320511","창1동","2","5559",1251,"도봉구"
"201610","11320511","창1동","1","6064",812,"도봉구"
"201610","11320511","창1동","2","6064",867,"도봉구"
"201610","11320511","창1동","1","6569",523,"도봉구"
"201610","11320511","창1동","2","6569",643,"도봉구"
"201610","11320511","창1동","1","7074",434,"도봉구"
"201610","11320511","창1동","2","7074",537,"도봉구"
"201610","11320511","창1동","1","7579",332,"도봉구"
"201610","11320511","창1동","2","7579",451,"도봉구"
"201610","11320511","창1동","1","8084",173,"도봉구"
"201610","11320511","창1동","2","8084",294,"도봉구"
"201610","11320511","창1동","1","8589",64,"도봉구"
"201610","11320511","창1동","2","8589",137,"도봉구"
"201610","11320511","창1동","1","9094",18,"도봉구"
"201610","11320511","창1동","2","9094",53,"도봉구"
"201610","11320511","창1동","1","9599",6,"도봉구"
"201610","11320511","창1동","2","9599",10,"도봉구"
"201610","11320511","창1동","1","9999",0,"도봉구"
"201610","11320511","창1동","2","9999",4,"도봉구"
